"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Chile","CHL","2024","100","88.2333333333333","82.3875","81.275","95","89.3791666666666","1","1","0.647","1","0.783333333333333","0.845833333333333","0.875","0.8285","1","0.6","1","0.651","1","0.95","1","1","1","1","1","1","1","0.867","0.857","0.44","0.5","0.571","0.647","1","0.8","0.7","0.76","0.833","0.75","0.857","1","0.875","0.7","0.75","0.75","1","0.75","0.857","0.8","1","0","1","1","1","1","0","1","0","1","1","0.651","1","1","1","1","0.5","1","1","1","1","1","1","1","High income","Latin America & Caribbean","1","19764771"
"Lithuania","LTU","2024","100","92","89.30625","80.5","85","89.36125","1","1","0.76","1","0.9095","0.893","0.875","0.862","1","0.934","1","0.286","1","0.85","1","1","1","1","1","1","1","0.95","1","0.91","0.729","0.214","0.76","1","1","0.8","0.8","1","1","0.857","0.833","1","0.9","0.875","0.75","1","0.75","0.857","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.286","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","2888055"
"Austria","AUT","2024","100","92.4333333333333","89.05625","80.25","85","89.3479166666667","1","1","0.773","1","0.8345","0.909666666666667","0.9585","0.9335","1","0.934","1","0.276","1","0.85","1","1","1","1","1","1","1","0.983","1","0.695","0.736","0.452","0.773","1","1","0.6","0.8","1","0.75","0.857","0.833","1","1","0.875","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.276","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","9178482"
"Australia","AUS","2024","80","95.1666666666667","85.2375","84.45","100","88.9708333333333","0.8","1","0.855","1","0.810666666666667","0.8555","0.9585","0.862","1","1","1","0.378","1","1","1","1","1","1","0","1","1","0.983","0.9","0.588","0.802","1","0.855","1","0.8","0.8","0.8","1","0.75","0.714","0.833","1","0.8","0.75","0.75","1","0.917","0.857","0.867","1","0","1","1","1","1","1","1","1","1","1","0.378","1","1","1","1","1","1","1","1","1","1","1","1","High income","East Asia & Pacific","1","27204809"
"Estonia","EST","2024","100","96.3","83.4375","84.2","80","88.7875","1","1","0.889","1","0.858333333333333","0.847166666666667","0.625","0.9335","1","1","1","0.368","1","0.8","1","1","1","1","1","1","1","0.967","0.967","0.933","0.705","0.871","0.889","1","0.8","0.8","0.8","1","0.75","1","0.833","1","1","0.75","0.5","1","0.75","1","0.867","0.5","0","1","1","1","1","1","1","1","1","1","0.368","1","1","1","1","0","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","1371986"
"Switzerland","CHE","2024","100","87.9","86.4625","84.2","85","88.7125","1","1","0.637","1","0.837833333333333","0.872166666666667","0.9585","0.8285","1","1","1","0.368","1","0.85","1","1","1","1","1","1","1","0.933","1","0.581","0.655","0.017","0.637","1","1","0.7","0.72","1","0.75","0.857","0.833","1","0.9","0.75","0.75","1","0.917","0.857","0.8","1","0","1","1","1","1","1","1","1","1","1","0.368","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","9034102"
"United Kingdom","GBR","2024","100","92.6","86.6625","77.625","85","88.3775","1","1","0.778","1","0.851666666666667","0.876333333333333","0.9585","0.7905","1","0.934","1","0.171","1","0.85","1","1","1","1","1","1","1","0.933","0.829","0.54","0.655","0.933","0.778","1","1","0.7","0.72","0.833","1","0.857","0.833","1","0.8","0.875","0.75","1","0.917","0.714","0.867","1","0","1","1","1","1","1","1","0.67","1","1","0.171","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","69226000"
"France","FRA","2024","100","90.1666666666667","88.80625","77.875","85","88.3695833333334","1","1","0.705","1","0.827833333333333","0.909666666666667","0.9585","0.9335","1","1","1","0.115","1","0.85","1","1","1","1","1","1","1","0.676","0.926","0.524","0.5","0.9","0.705","1","1","0.6","0.76","1","0.75","0.857","0.833","1","1","0.875","0.75","1","0.917","1","0.867","1","0","1","1","1","1","1","1","1","1","1","0.115","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","68516699"
"Singapore","SGP","2024","100","98.4","67.31875","95.875","80","88.31875","1","1","0.952","1","0.560833333333333","0.788833333333333","0.5415","0.795","1","1","1","0.835","1","0.8","1","1","1","1","1","1","1","1","1","0.967","0.793","1","0.952","1","0.4","0.3","0.677","0.667","0.75","0.571","0.833","0.75","0.9","0.5","0.75","1","0.583","0.857","0.733","0.5","0","1","1","1","1","1","1","1","1","1","0.835","1","1","1","1","0.5","1","1","0.5","1","0","1","1","High income","East Asia & Pacific","1","6036860"
"Ireland","IRL","2024","100","97.1333333333333","80.93125","78.525","85","88.3179166666667","1","1","0.914","1","0.801166666666667","0.809666666666667","0.7085","0.9335","1","0.934","1","0.207","1","0.85","1","1","1","1","1","1","1","0.983","1","0.867","0.736","0.983","0.914","1","0.8","0.6","0.8","1","0.75","0.857","0.833","1","0.9","0.625","0.5","1","0.917","1","0.867","0.5","0","1","1","1","1","1","1","0.67","1","1","0.207","1","1","1","1","0.5","1","1","1","1","0","1","1","High income","Europe & Central Asia","1","5380257"
